"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"SRX1388464","SRX1388464","SRX1388464","mixed","head","head","pu8","pupae","SRP065309",NA
"SRX1388465","SRX1388465","SRX1388465","mixed","head","head","pu8","pupae","SRP065309",NA
"SRX1388466","SRX1388466","SRX1388466","mixed","head","head","pu8","pupae","SRP065309",NA
"SRX1404116","SRX1404116","SRX1404116","unknown","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404117","SRX1404117","SRX1404117","unknown","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404118","SRX1404118","SRX1404118","unknown","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404119","SRX1404119","SRX1404119","female","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404120","SRX1404120","SRX1404120","female","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404121","SRX1404121","SRX1404121","female","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404122","SRX1404122","SRX1404122","female","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404123","SRX1404123","SRX1404123","female","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1404124","SRX1404124","SRX1404124","female","embryo","embryo","e5","embryo","SRP065552",NA
"SRX1411115","SRX1411115","SRX1411115","mixed","ganglia","neuron","l3","larva","SRP065737",NA
"SRX1411116","SRX1411116","SRX1411116","mixed","ganglia","neuron","l3","larva","SRP065737",NA
"SRX1411406","SRX1411406","SRX1411406","mixed","ganglia","neuron","l3","larva","SRP065737",NA
"SRX1411407","SRX1411407","SRX1411407","mixed","ganglia","neuron","l3","larva","SRP065737",NA
"SRX1411408","SRX1411408","SRX1411408","mixed","ganglia","neuron","l3","larva","SRP065737",NA
"SRX1411409","SRX1411409","SRX1411409","mixed","ganglia","neuron","l3","larva","SRP065737",NA
"SRX141933","SRX141933","SRX141933","male","head","head","a4","adult","SRP012175",NA
"SRX141934","SRX141934","SRX141934","male","head","head","a4","adult","SRP012175",NA
"SRX141935","SRX141935","SRX141935","male","head","head","a4","adult","SRP012175",NA
"SRX141936","SRX141936","SRX141936","male","head","head","a4","adult","SRP012175",NA
"SRX141937","SRX141937","SRX141937","male","head","head","a4","adult","SRP012175",NA
"SRX141938","SRX141938","SRX141938","male","head","head","a4","adult","SRP012175",NA
"SRX141939","SRX141939","SRX141939","male","head","head","a4","adult","SRP012175",NA
"SRX141940","SRX141940","SRX141940","male","head","head","a4","adult","SRP012175",NA
"SRX141941","SRX141941","SRX141941","male","head","head","a4","adult","SRP012175",NA
"SRX141942","SRX141942","SRX141942","male","head","head","a4","adult","SRP012175",NA
"SRX141943","SRX141943","SRX141943","male","head","head","a4","adult","SRP012175",NA
"SRX141944","SRX141944","SRX141944","male","head","head","a4","adult","SRP012175",NA
"SRX141945","SRX141945","SRX141945","male","head","head","a4","adult","SRP012175",NA
"SRX141946","SRX141946","SRX141946","male","head","head","a4","adult","SRP012175",NA
"SRX141947","SRX141947","SRX141947","male","head","head","a4","adult","SRP012175",NA
"SRX141948","SRX141948","SRX141948","male","head","head","a4","adult","SRP012175",NA
"SRX141949","SRX141949","SRX141949","male","head","head","a4","adult","SRP012175",NA
"SRX141950","SRX141950","SRX141950","male","head","head","a4","adult","SRP012175",NA
"SRX142027","SRX142027","SRX142027","male","testis","testis","a4","adult","SRP012190",NA
"SRX142028","SRX142028","SRX142028","male","testis","testis","a4","adult","SRP012190",NA
"SRX142029","SRX142029","SRX142029","male","testis","testis","a4","adult","SRP012190",NA
"SRX142030","SRX142030","SRX142030","male","testis","testis","a4","adult","SRP012190",NA
"SRX142031","SRX142031","SRX142031","male","testis","testis","a4","adult","SRP012190",NA
"SRX142032","SRX142032","SRX142032","male","testis","testis","a4","adult","SRP012190",NA
"SRX142089","SRX142089","SRX142089","male","head","head","a4","adult","SRP012175",NA
"SRX142090","SRX142090","SRX142090","male","head","head","a4","adult","SRP012175",NA
"SRX142091","SRX142091","SRX142091","male","head","head","a4","adult","SRP012175",NA
"SRX142092","SRX142092","SRX142092","male","head","head","a4","adult","SRP012175",NA
"SRX142093","SRX142093","SRX142093","male","head","head","a4","adult","SRP012175",NA
"SRX142094","SRX142094","SRX142094","male","head","head","a4","adult","SRP012175",NA
"SRX142095","SRX142095","SRX142095","male","head","head","a4","adult","SRP012175",NA
"SRX142096","SRX142096","SRX142096","male","head","head","a4","adult","SRP012175",NA
"SRX142097","SRX142097","SRX142097","male","head","head","a4","adult","SRP012175",NA
"SRX142098","SRX142098","SRX142098","male","head","head","a4","adult","SRP012175",NA
"SRX142099","SRX142099","SRX142099","male","head","head","a4","adult","SRP012175",NA
"SRX142100","SRX142100","SRX142100","male","head","head","a4","adult","SRP012175",NA
"SRX142101","SRX142101","SRX142101","male","head","head","a4","adult","SRP012175",NA
"SRX142102","SRX142102","SRX142102","male","head","head","a4","adult","SRP012175",NA
"SRX1422939","SRX1422939","SRX1422939","male","midgut","gut","a15","adult","SRP065904",NA
"SRX1422940","SRX1422940","SRX1422940","male","midgut","gut","a15","adult","SRP065904",NA
"SRX1422941","SRX1422941","SRX1422941","male","midgut","gut","a15","adult","SRP065904",NA
"SRX1422942","SRX1422942","SRX1422942","female","midgut","gut","a15","adult","SRP065904",NA
"SRX1422943","SRX1422943","SRX1422943","female","midgut","gut","a15","adult","SRP065904",NA
"SRX1422944","SRX1422944","SRX1422944","female","midgut","gut","a15","adult","SRP065904",NA
"SRX1422945","SRX1422945","SRX1422945","female","midgut","gut","a","adult","SRP065905",NA
"SRX1422946","SRX1422946","SRX1422946","female","midgut","gut","a15","adult","SRP065905",NA
"SRX1422947","SRX1422947","SRX1422947","female","midgut","gut","a15","adult","SRP065905",NA
"SRX1422948","SRX1422948","SRX1422948","intersex","midgut","gut","a15","adult","SRP065905",NA
"SRX1422949","SRX1422949","SRX1422949","intersex","midgut","gut","a15","adult","SRP065905",NA
"SRX1422950","SRX1422950","SRX1422950","intersex","midgut","gut","a15","adult","SRP065905",NA
"SRX1422951","SRX1422951","SRX1422951","female","midgut","gut","a15","adult","SRP065905",NA
"SRX1422952","SRX1422952","SRX1422952","female","midgut","gut","a15","adult","SRP065905",NA
"SRX1422953","SRX1422953","SRX1422953","female","midgut","gut","a15","adult","SRP065905",NA
"SRX142918","SRX142918","SRX142918","female","head","head","a1","adult","SRP001602",NA
"SRX142920","SRX142920","SRX142920","female","ovary","ovary","a4","adult","SRP001602",NA
"SRX142921","SRX142921","SRX142921","male","head","head","a1","adult","SRP001602",NA
"SRX142922","SRX142922","SRX142922","male","head","head","a20","adult","SRP001602",NA
"SRX142924","SRX142924","SRX142924","male","testis","testis","a4","adult","SRP001602",NA
"SRX142926","SRX142926","SRX142926","mixed","carcass","tissue carcass","a4","adult","SRP001602",NA
"SRX142928","SRX142928","SRX142928","female","ovary","ovary","a4","adult","SRP001602",NA
"SRX142930","SRX142930","SRX142930","unknown","central nervous system","neuron","l3","larva","SRP001602",NA
"SRX142931","SRX142931","SRX142931","unknown","digestive system","digestive system","l3","larva","SRP001602",NA
"SRX142932","SRX142932","SRX142932","unknown","imaginal disc","disc","l3","larva","SRP001602",NA
"SRX142935","SRX142935","SRX142935","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142936","SRX142936","SRX142936","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142937","SRX142937","SRX142937","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142938","SRX142938","SRX142938","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142939","SRX142939","SRX142939","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142940","SRX142940","SRX142940","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142941","SRX142941","SRX142941","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142942","SRX142942","SRX142942","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142945","SRX142945","SRX142945","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142951","SRX142951","SRX142951","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142952","SRX142952","SRX142952","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142953","SRX142953","SRX142953","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142954","SRX142954","SRX142954","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX142955","SRX142955","SRX142955","unknown","whole body","whole body","a","adult","SRP001602",NA
"SRX1431470","SRX1431470","SRX1431470","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431471","SRX1431471","SRX1431471","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431472","SRX1431472","SRX1431472","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431473","SRX1431473","SRX1431473","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431474","SRX1431474","SRX1431474","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431475","SRX1431475","SRX1431475","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431476","SRX1431476","SRX1431476","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431477","SRX1431477","SRX1431477","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431478","SRX1431478","SRX1431478","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431479","SRX1431479","SRX1431479","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431480","SRX1431480","SRX1431480","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431481","SRX1431481","SRX1431481","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431482","SRX1431482","SRX1431482","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431483","SRX1431483","SRX1431483","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431484","SRX1431484","SRX1431484","unknown","brain neuron","neuron","a","adult","SRP066166",NA
"SRX1431485","SRX1431485","SRX1431485","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431486","SRX1431486","SRX1431486","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431487","SRX1431487","SRX1431487","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431488","SRX1431488","SRX1431488","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431489","SRX1431489","SRX1431489","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431490","SRX1431490","SRX1431490","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431491","SRX1431491","SRX1431491","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431492","SRX1431492","SRX1431492","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431493","SRX1431493","SRX1431493","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431494","SRX1431494","SRX1431494","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431495","SRX1431495","SRX1431495","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431496","SRX1431496","SRX1431496","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431497","SRX1431497","SRX1431497","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431498","SRX1431498","SRX1431498","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431499","SRX1431499","SRX1431499","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431500","SRX1431500","SRX1431500","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431501","SRX1431501","SRX1431501","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431502","SRX1431502","SRX1431502","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431503","SRX1431503","SRX1431503","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431504","SRX1431504","SRX1431504","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431505","SRX1431505","SRX1431505","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431506","SRX1431506","SRX1431506","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431507","SRX1431507","SRX1431507","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431509","SRX1431509","SRX1431509","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431510","SRX1431510","SRX1431510","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431511","SRX1431511","SRX1431511","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431512","SRX1431512","SRX1431512","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431513","SRX1431513","SRX1431513","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431514","SRX1431514","SRX1431514","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431515","SRX1431515","SRX1431515","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431516","SRX1431516","SRX1431516","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431517","SRX1431517","SRX1431517","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431518","SRX1431518","SRX1431518","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431520","SRX1431520","SRX1431520","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431521","SRX1431521","SRX1431521","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431522","SRX1431522","SRX1431522","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431523","SRX1431523","SRX1431523","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431524","SRX1431524","SRX1431524","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431525","SRX1431525","SRX1431525","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431526","SRX1431526","SRX1431526","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431527","SRX1431527","SRX1431527","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431528","SRX1431528","SRX1431528","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431529","SRX1431529","SRX1431529","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431530","SRX1431530","SRX1431530","unknown","kenyon cell","neuron","a","adult","SRP066166",NA
"SRX1431531","SRX1431531","SRX1431531","unknown","mushroom body neuron","neuron","a","adult","SRP066166",NA
"SRX1431532","SRX1431532","SRX1431532","unknown","mushroom body neuron","neuron","a","adult","SRP066166",NA
"SRX1431533","SRX1431533","SRX1431533","unknown","mushroom body neuron","neuron","a","adult","SRP066166",NA
"SRX1431534","SRX1431534","SRX1431534","unknown","mushroom body neuron","neuron","a","adult","SRP066166",NA
"SRX1431535","SRX1431535","SRX1431535","unknown","mushroom body neuron","neuron","a","adult","SRP066166",NA
"SRX1431536","SRX1431536","SRX1431536","unknown","mushroom body neuron","neuron","a","adult","SRP066166",NA
"SRX1431537","SRX1431537","SRX1431537","unknown","mushroom body neuron","neuron","a","adult","SRP066166",NA
