"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"DRX073132","DRX073132","DRX073132","female","whole body","whole body","a","adult","DRP003423",NA
"ERX010177","ERX010177","ERX010177","mixed","whole body","whole body","a7","adult","ERP000506",NA
"ERX010178","ERX010178","ERX010178","mixed","malpighian tubule","malpighian tubule","a7","adult","ERP000506",NA
"ERX010179","ERX010179","ERX010179","mixed","head","head","a7","adult","ERP000506",NA
"ERX010180","ERX010180","ERX010180","male","testis","testis","a7","adult","ERP000506",NA
"ERX1050469","ERX1050469","ERX1050469","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050470","ERX1050470","ERX1050470","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050471","ERX1050471","ERX1050471","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050472","ERX1050472","ERX1050472","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050473","ERX1050473","ERX1050473","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050474","ERX1050474","ERX1050474","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050475","ERX1050475","ERX1050475","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050476","ERX1050476","ERX1050476","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050477","ERX1050477","ERX1050477","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050478","ERX1050478","ERX1050478","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050479","ERX1050479","ERX1050479","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1050480","ERX1050480","ERX1050480","unknown","wing disc","disc","l3","larva","ERP011215",NA
"ERX1071736","ERX1071736","ERX1071736","female","ovary","ovary","a","adult","ERP011832",NA
"ERX1071737","ERX1071737","ERX1071737","female","ovary","ovary","a","adult","ERP011832",NA
"ERX1071738","ERX1071738","ERX1071738","female","ovary","ovary","a","adult","ERP011832",NA
"ERX1071739","ERX1071739","ERX1071739","female","ovary","ovary","a","adult","ERP011832",NA
"ERX1236355","ERX1236355","ERX1236355","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236356","ERX1236356","ERX1236356","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236357","ERX1236357","ERX1236357","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236358","ERX1236358","ERX1236358","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236359","ERX1236359","ERX1236359","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236360","ERX1236360","ERX1236360","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236361","ERX1236361","ERX1236361","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236362","ERX1236362","ERX1236362","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236363","ERX1236363","ERX1236363","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236364","ERX1236364","ERX1236364","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236365","ERX1236365","ERX1236365","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236366","ERX1236366","ERX1236366","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236367","ERX1236367","ERX1236367","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236368","ERX1236368","ERX1236368","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1236369","ERX1236369","ERX1236369","unknown","midgut part","gut","l","larva","ERP013282",NA
"ERX1400183","ERX1400183","ERX1400183","unknown","cytoplasm of embryo","embryo","e5","embryo","ERP014605",NA
"ERX1400184","ERX1400184","ERX1400184","unknown","embryo","embryo","e5","embryo","ERP014605",NA
"ERX1400185","ERX1400185","ERX1400185","unknown","embryo","embryo","e5","embryo","ERP014605",NA
"ERX141778","ERX141778","ERX141778","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141779","ERX141779","ERX141779","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141780","ERX141780","ERX141780","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141781","ERX141781","ERX141781","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141782","ERX141782","ERX141782","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141783","ERX141783","ERX141783","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141784","ERX141784","ERX141784","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141785","ERX141785","ERX141785","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141786","ERX141786","ERX141786","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141787","ERX141787","ERX141787","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141788","ERX141788","ERX141788","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141789","ERX141789","ERX141789","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141790","ERX141790","ERX141790","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX141791","ERX141791","ERX141791","female","whole body","whole body","a4","adult","ERP001746",NA
"ERX1428245","ERX1428245","ERX1428245","unknown","wing disc","disc","l3","larva","ERP015006",NA
"ERX1428246","ERX1428246","ERX1428246","female","wing disc","disc","l3","larva","ERP015006",NA
"ERX1428247","ERX1428247","ERX1428247","female","wing disc","disc","l3","larva","ERP015006",NA
"ERX1428248","ERX1428248","ERX1428248","female","wing disc","disc","l3","larva","ERP015006",NA
"ERX1428249","ERX1428249","ERX1428249","female","wing disc","disc","l3","larva","ERP015006",NA
"ERX1428250","ERX1428250","ERX1428250","unknown","wing disc","disc","l3","larva","ERP015006",NA
"ERX1466900","ERX1466900","ERX1466900","mixed","embryo","embryo","e7","embryo","ERP015406",NA
"ERX1466901","ERX1466901","ERX1466901","mixed","embryo","embryo","e14","embryo","ERP015406",NA
"ERX1466902","ERX1466902","ERX1466902","mixed","embryo","embryo","e14","embryo","ERP015406",NA
"ERX1466903","ERX1466903","ERX1466903","mixed","embryo","embryo","e7","embryo","ERP015406",NA
"ERX1466904","ERX1466904","ERX1466904","mixed","embryo","embryo","e7","embryo","ERP015406",NA
"ERX1466905","ERX1466905","ERX1466905","mixed","embryo","embryo","e12","embryo","ERP015406",NA
"ERX1466906","ERX1466906","ERX1466906","mixed","embryo","embryo","e12","embryo","ERP015406",NA
"ERX1466907","ERX1466907","ERX1466907","mixed","embryo","embryo","e14","embryo","ERP015406",NA
"ERX1466908","ERX1466908","ERX1466908","mixed","embryo","embryo","e12","embryo","ERP015406",NA
"ERX1466909","ERX1466909","ERX1466909","mixed","embryo","embryo","e7","embryo","ERP015406",NA
"ERX1466910","ERX1466910","ERX1466910","mixed","embryo","embryo","e12","embryo","ERP015406",NA
"ERX1466911","ERX1466911","ERX1466911","mixed","embryo","embryo","e14","embryo","ERP015406",NA
"ERX1605881","ERX1605881","ERX1605881","male","leg disc","disc","l3","larva","ERP016457",NA
"ERX1605882","ERX1605882","ERX1605882","male","leg disc","disc","l3","larva","ERP016457",NA
"ERX1605883","ERX1605883","ERX1605883","male","leg disc","disc","l3","larva","ERP016457",NA
"ERX1605884","ERX1605884","ERX1605884","male","leg disc","disc","l3","larva","ERP016457",NA
"ERX1605885","ERX1605885","ERX1605885","male","leg disc","disc","l3","larva","ERP016457",NA
"ERX1605886","ERX1605886","ERX1605886","male","leg disc","disc","l3","larva","ERP016457",NA
"ERX1730241","ERX1730241","ERX1730241","unknown","embryo","embryo","e15","embryo","ERP017328",NA
"ERX1730242","ERX1730242","ERX1730242","unknown","embryo","embryo","e15","embryo","ERP017328",NA
"ERX1730243","ERX1730243","ERX1730243","unknown","embryo","embryo","e15","embryo","ERP017328",NA
"ERX1730244","ERX1730244","ERX1730244","unknown","embryo","embryo","e15","embryo","ERP017328",NA
"ERX1730245","ERX1730245","ERX1730245","unknown","embryo","embryo","e15","embryo","ERP017328",NA
"ERX1730246","ERX1730246","ERX1730246","unknown","embryo","embryo","e15","embryo","ERP017328",NA
"ERX1732854","ERX1732854","ERX1732854","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732855","ERX1732855","ERX1732855","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732857","ERX1732857","ERX1732857","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732861","ERX1732861","ERX1732861","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732862","ERX1732862","ERX1732862","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732863","ERX1732863","ERX1732863","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732865","ERX1732865","ERX1732865","unknown","whole body","whole body","l","larva","ERP017353",NA
"ERX1732869","ERX1732869","ERX1732869","unknown","whole body","whole body","l","larva","ERP017353",NA
